Manufacturer,Model,Price,Car Transmission,Power (BHP) of the car,Engine size in CC,Type of fuel,Number of male owners,Number of female owners,Gender unclassified,Total number of owners
Volkswagen,Caddy,24.76,5.71,81.74,1735.58,diesel,821,821,55,1229
Ford,Mustang,74.61,3.2,239.2,3640.2,petrol,1101,1101,27,1220
Mercedes,Vito,37.31,5.68,102.73,2118.94,diesel,1035,1035,57,1209
Alfa-Romeo,166,43.89,5.67,130.56,2457.56,petrol,1042,1042,54,1208
Nissan,Maxima,34.1,4.57,121.86,2555.29,petrol,975,975,59,1200
Fiat,Croma,34.33,5.59,105.0,1962.06,diesel,846,846,40,1174
Nissan,GT-R,177.5,6.0,419.0,3799.0,petrol,1072,1072,54,1172
Maserati,GranCabrio,245.17,6.0,338.0,4691.0,petrol,1003,1003,34,1111
Toyota,Paseo,15.76,5.0,66.0,1497.0,petrol,572,572,63,1106
Nissan,370Z,85.05,6.5,242.0,3696.0,petrol,908,908,40,1103
Audi,Quattro,61.24,5.0,147.0,2144.0,petrol,964,964,41,1074
Ssangyong,Rodius,57.59,5.43,121.0,1998.0,diesel,698,698,57,1074
Ferrari,F430,260.29,6.0,360.0,4308.0,petrol,962,962,42,1054
BMW,850i,111.99,5.0,220.0,4988.0,petrol,921,921,47,1052
Peugeot,Bipper,17.32,5.0,55.0,1360.0,petrol,608,608,39,1033
Fiat,Uno,11.28,4.29,49.29,1337.71,petrol,602,602,48,1030
Skoda,Favorit,7.86,5.0,44.0,1289.0,petrol,685,685,38,1004
Ford,Focus,30.62,5.97,94.03,1497.17,petrol,737225,737225,50915,1180851
Ford,Fiesta,18.53,5.71,68.57,1166.14,petrol,520479,520479,48115,1157587
Volkswagen,Golf,31.24,6.16,89.46,1537.41,petrol,451080,451080,45399,790251
Renault,Clio,22.1,5.62,75.58,1219.65,petrol,258405,258405,31372,653109
Ford,Mondeo,39.97,1.75,130.25,1998.5,petrol,447663,447663,20076,560858
BMW,320i,47.85,6.44,126.11,1995.78,petrol,402366,402366,29650,558508
Peugeot,206,20.03,4.83,71.33,1631.5,petrol,195791,195791,30018,545318
Volkswagen,Polo,18.19,5.07,60.96,1408.06,petrol,199588,199588,31184,513910
Nissan,Micra,20.38,4.87,67.96,1279.7,petrol,166609,166609,28921,483248
Renault,Megane,26.45,5.41,87.31,1623.79,petrol,255189,255189,25860,477540
Ford,Ka+,15.46,5.0,60.8,1196.0,petrol,110107,110107,22096,435906
Honda,Civic,29.94,4.5,106.22,1480.58,petrol,245788,245788,22042,407855
Toyota,Yaris,20.72,3.52,74.4,1397.8,petrol,112400,112400,23662,324157
Citroen,Xsara,22.36,4.88,72.58,1743.44,petrol,178716,178716,12710,296025
Peugeot,307,27.46,4.87,86.45,1723.0,petrol,145149,145149,14603,280395
Volkswagen,Passat,46.06,6.49,125.44,1835.85,petrol,209388,209388,14302,271933
Mercedes,CLA,46.53,7.04,131.6,1596.92,petrol,187583,187583,16256,268505
Audi,A4,57.93,6.16,149.71,2283.11,petrol,191779,191779,13036,262261
